name,country,position,overall_rating,pace,shooting,passing,defending,stamina,injury_risk,goals_last_season,assists_last_season
Player 11,Denmark,DEF,82,62,57,67,90,89,20,1,0
Player 12,Denmark,MID,84,90,59,83,54,70,40,5,5
Player 13,Denmark,MID,84,75,59,81,54,92,36,2,1
Player 14,Denmark,MID,83,75,58,81,53,91,18,2,8
Player 15,Denmark,MID,85,91,60,93,55,86,12,3,1
Player 16,Denmark,MID,81,77,56,76,51,92,9,0,9
Player 17,Denmark,MID,84,89,59,82,54,77,34,3,8
Player 18,Denmark,MID,85,72,60,82,55,86,18,5,7
Player 19,Denmark,MID,84,88,59,82,54,73,11,3,8
Player 20,Denmark,FWD,77,71,82,62,47,79,23,10,9
Player 21,Denmark,FWD,80,88,71,65,50,80,19,15,4
Player 22,Denmark,FWD,83,85,79,68,53,92,10,3,10
Player 23,Denmark,FWD,85,83,75,70,55,88,20,10,5
Player 1,South Korea,GK,82,62,57,67,52,86,22,2,1
Player 2,South Korea,GK,83,63,58,68,53,75,19,5,0
Player 3,South Korea,GK,76,56,51,61,46,71,28,3,2
Player 4,South Korea,DEF,76,56,51,61,75,73,5,5,1
Player 5,South Korea,DEF,77,57,52,62,83,86,10,0,2
Player 6,South Korea,DEF,75,55,50,60,83,70,15,5,1
Player 7,South Korea,DEF,84,64,59,69,88,80,43,1,1
Player 8,South Korea,DEF,75,55,50,60,71,92,29,4,2
Player 9,South Korea,DEF,76,56,51,61,74,74,8,5,1
Player 10,South Korea,DEF,80,60,55,65,84,87,19,1,2
Player 11,South Korea,DEF,82,62,57,67,89,85,31,2,1
Player 12,South Korea,MID,78,74,53,76,48,79,6,2,5
Player 13,South Korea,MID,84,93,59,81,54,73,11,1,7
Player 14,South Korea,MID,82,72,57,79,52,89,40,3,10
Player 15,South Korea,MID,77,87,52,80,47,72,25,1,3
Player 16,South Korea,MID,79,78,54,82,49,72,14,5,10
Player 17,South Korea,MID,82,92,57,79,52,83,35,4,3
Player 18,South Korea,MID,82,76,57,77,52,74,14,3,4
Player 19,South Korea,MID,78,71,53,84,48,87,26,5,4
Player 20,South Korea,FWD,78,77,80,63,48,87,26,14,3
Player 21,South Korea,FWD,84,92,81,69,54,89,5,9,1
Player 22,South Korea,FWD,84,69,89,69,54,72,8,5,3
Player 23,South Korea,FWD,83,82,78,68,53,89,43,8,0
Player 1,Australia,GK,77,57,52,62,47,85,17,1,2
Player 2,Australia,GK,77,57,52,62,47,85,40,0,0
Player 3,Australia,GK,79,59,54,64,49,74,35,2,1
Player 4,Australia,DEF,82,62,57,67,84,76,15,1,1
Player 5,Australia,DEF,80,60,55,65,87,84,24,4,1
Player 6,Australia,DEF,73,53,48,58,74,75,38,0,2
Player 7,Australia,DEF,76,56,51,61,73,73,12,3,0
Player 8,Australia,DEF,76,56,51,61,77,79,43,0,0
Player 9,Australia,DEF,74,54,49,59,78,88,39,2,0
Player 10,Australia,DEF,73,53,48,58,73,88,24,4,1
Player 11,Australia,DEF,82,62,57,67,87,76,38,0,1
Player 12,Australia,MID,80,85,55,84,50,78,25,2,7
Player 13,Australia,MID,82,71,57,87,52,84,34,0,4
Player 14,Australia,MID,82,75,57,83,52,91,21,1,4
Player 15,Australia,MID,78,73,53,73,48,90,33,1,8
Player 16,Australia,MID,73,77,48,79,43,84,41,1,9
Player 17,Australia,MID,80,87,55,76,50,79,43,4,5
Player 18,Australia,MID,82,86,57,81,52,89,10,1,10
Player 19,Australia,MID,77,76,52,81,47,89,29,4,7
Player 20,Australia,FWD,76,80,80,61,46,85,5,9,1
Player 21,Australia,FWD,74,62,72,59,44,72,5,4,0
Player 22,Australia,FWD,82,68,83,67,52,75,27,7,9
Player 23,Australia,FWD,78,72,74,63,48,86,33,12,10
Player 1,Ukraine,GK,82,62,57,67,52,80,32,3,2
Player 2,Ukraine,GK,81,61,56,66,51,71,26,4,2
Player 3,Ukraine,GK,83,63,58,68,53,87,13,5,0
Player 4,Ukraine,DEF,82,62,57,67,88,83,7,0,1
Player 5,Ukraine,DEF,80,60,55,65,79,75,43,0,2
Player 6,Ukraine,DEF,83,63,58,68,80,74,39,1,2
Player 7,Ukraine,DEF,80,60,55,65,79,92,11,5,2
Player 8,Ukraine,DEF,83,63,58,68,80,72,21,1,2
Player 9,Ukraine,DEF,77,57,52,62,84,89,38,5,1
Player 10,Ukraine,DEF,78,58,53,63,82,86,41,4,0
Player 11,Ukraine,DEF,76,56,51,61,80,90,34,5,2
Player 12,Ukraine,MID,84,70,59,84,54,78,43,3,10
Player 13,Ukraine,MID,82,84,57,79,52,86,28,2,7
Player 14,Ukraine,MID,76,84,51,82,46,90,27,5,1
Player 15,Ukraine,MID,83,89,58,79,53,72,39,2,3
Player 16,Ukraine,MID,77,63,52,78,47,71,18,1,1
Player 17,Ukraine,MID,76,86,51,76,46,82,15,3,5
Player 18,Ukraine,MID,77,64,52,81,47,86,18,4,7
Player 19,Ukraine,MID,77,73,52,73,47,92,39,1,5
Player 20,Ukraine,FWD,80,83,77,65,50,79,7,13,6
Player 21,Ukraine,FWD,83,69,83,68,53,86,21,6,9
Player 22,Ukraine,FWD,75,74,75,60,45,75,7,6,6
Player 23,Ukraine,FWD,84,78,87,69,54,86,32,5,0
Player 1,Austria,GK,77,57,52,62,47,86,31,3,0
Player 2,Austria,GK,84,64,59,69,54,81,14,0,0
Player 3,Austria,GK,76,56,51,61,46,76,20,0,0
Player 4,Austria,DEF,76,56,51,61,79,72,13,0,2
Player 5,Austria,DEF,78,58,53,63,79,91,38,0,1
Player 6,Austria,DEF,77,57,52,62,82,92,29,2,2
Player 7,Austria,DEF,80,60,55,65,78,89,6,4,2
Player 8,Austria,DEF,77,57,52,62,74,78,22,5,0
Player 9,Austria,DEF,82,62,57,67,81,78,30,4,1
Player 10,Austria,DEF,78,58,53,63,75,85,17,1,1
Player 11,Austria,DEF,82,62,57,67,88,88,31,1,0
Player 12,Austria,MID,78,70,53,79,48,74,14,4,8
Player 13,Austria,MID,78,81,53,80,48,74,13,1,1
Player 14,Austria,MID,85,94,60,84,55,87,39,5,2
Player 15,Austria,MID,80,72,55,79,50,80,6,1,3
Player 16,Austria,MID,80,85,55,76,50,92,41,3,10
Player 17,Austria,MID,85,77,60,93,55,90,27,1,2
Player 18,Austria,MID,78,63,53,81,48,76,30,1,9
Player 19,Austria,MID,79,84,54,83,49,83,19,1,9
Player 20,Austria,FWD,77,79,80,62,47,88,7,2,3
Player 21,Austria,FWD,85,93,87,70,55,75,24,1,8
Player 22,Austria,FWD,84,82,81,69,54,77,40,2,9
Player 23,Austria,FWD,85,73,78,70,55,76,43,9,0
Player 1,Switzerland,GK,78,58,53,63,48,73,26,4,1
Player 2,Switzerland,GK,84,64,59,69,54,74,23,3,1
Player 3,Switzerland,GK,84,64,59,69,54,87,25,3,1
Player 4,Switzerland,DEF,85,65,60,70,85,74,40,0,2
Player 5,Switzerland,DEF,80,60,55,65,86,71,28,5,0
Player 6,Switzerland,DEF,80,60,55,65,77,82,33,1,1
Player 7,Switzerland,DEF,79,59,54,64,75,90,30,3,1
Player 8,Switzerland,DEF,80,60,55,65,87,74,32,4,1
Player 9,Switzerland,DEF,84,64,59,69,91,88,14,3,2
Player 10,Switzerland,DEF,83,63,58,68,91,83,20,3,1
Player 11,Switzerland,DEF,85,65,60,70,89,87,19,5,1
Player 12,Switzerland,MID,79,84,54,83,49,70,8,0,9
Player 13,Switzerland,MID,85,77,60,90,55,71,21,4,6
Player 14,Switzerland,MID,76,66,51,75,46,76,19,4,10
Player 15,Switzerland,MID,82,92,57,88,52,74,32,2,10
Player 16,Switzerland,MID,81,79,56,79,51,74,39,1,0
Player 17,Switzerland,MID,80,70,55,80,50,89,35,0,7
Player 18,Switzerland,MID,78,84,53,80,48,92,12,5,3
Player 19,Switzerland,MID,81,66,56,81,51,72,40,5,10
Player 20,Switzerland,FWD,82,70,74,67,52,89,11,7,5
Player 21,Switzerland,FWD,83,76,77,68,53,78,11,6,6
Player 22,Switzerland,FWD,81,71,86,66,51,81,36,2,9
Player 23,Switzerland,FWD,85,95,87,70,55,86,10,13,2
Player 1,Turkey,GK,84,64,59,69,54,81,41,5,2
Player 2,Turkey,GK,75,55,50,60,45,86,36,5,2
Player 3,Turkey,GK,78,58,53,63,48,73,9,2,1
Player 4,Turkey,DEF,78,58,53,63,79,86,15,2,2
Player 5,Turkey,DEF,84,64,59,69,92,70,5,5,0
Player 6,Turkey,DEF,81,61,56,66,80,82,34,2,1
Player 7,Turkey,DEF,84,64,59,69,91,88,9,4,1
Player 8,Turkey,DEF,75,55,50,60,79,74,28,4,0
Player 9,Turkey,DEF,77,57,52,62,76,86,35,0,2
Player 10,Turkey,DEF,82,62,57,67,80,70,44,2,1
Player 11,Turkey,DEF,82,62,57,67,87,78,42,3,0
Player 12,Turkey,MID,78,63,53,86,48,86,31,1,2
Player 13,Turkey,MID,84,93,59,85,54,73,39,2,1
Player 14,Turkey,MID,84,69,59,92,54,81,42,5,0
Player 15,Turkey,MID,75,82,50,82,45,84,10,4,4
Player 16,Turkey,MID,80,82,55,84,50,83,14,5,5
Player 17,Turkey,MID,77,76,52,77,47,88,26,0,4
Player 18,Turkey,MID,75,62,50,77,45,87,24,0,4
Player 19,Turkey,MID,82,91,57,81,52,85,39,2,1
Player 20,Turkey,FWD,75,70,74,60,45,83,30,9,2
Player 21,Turkey,FWD,77,65,74,62,47,77,42,15,1
Player 22,Turkey,FWD,81,69,75,66,51,71,5,7,1
Player 23,Turkey,FWD,82,71,86,67,52,81,39,12,9
Player 1,Ecuador,GK,77,57,52,62,47,71,37,0,1
Player 2,Ecuador,GK,76,56,51,61,46,75,18,0,0
Player 3,Ecuador,GK,80,60,55,65,50,73,19,1,2
Player 4,Ecuador,DEF,84,64,59,69,79,91,18,5,0
Player 5,Ecuador,DEF,81,61,56,66,77,91,42,1,2
Player 6,Ecuador,DEF,77,57,52,62,83,77,6,0,0
Player 7,Ecuador,DEF,84,64,59,69,87,88,34,2,1
Player 8,Ecuador,DEF,84,64,59,69,92,83,19,4,0
Player 9,Ecuador,DEF,84,64,59,69,79,74,45,3,0
Player 10,Ecuador,DEF,81,61,56,66,89,85,5,5,2
Player 11,Ecuador,DEF,75,55,50,60,83,75,6,2,1
Player 12,Ecuador,MID,77,65,52,80,47,73,14,4,0
Player 13,Ecuador,MID,84,73,59,85,54,71,17,3,9
Player 14,Ecuador,MID,76,68,51,82,46,75,22,5,5
Player 15,Ecuador,MID,81,90,56,86,51,77,13,4,7
Player 16,Ecuador,MID,77,78,52,75,47,70,23,3,2
Player 17,Ecuador,MID,84,81,59,85,54,78,39,1,3
Player 18,Ecuador,MID,82,74,57,89,52,74,40,4,0
Player 19,Ecuador,MID,83,85,58,85,53,81,21,2,10
Player 20,Ecuador,FWD,75,75,66,60,45,88,7,7,7
Player 21,Ecuador,FWD,81,89,78,66,51,81,10,7,8
Player 22,Ecuador,FWD,80,82,83,65,50,80,21,10,1
Player 23,Ecuador,FWD,79,85,76,64,49,88,20,6,10
Player 1,Poland,GK,83,63,58,68,53,76,40,5,0
Player 2,Poland,GK,81,61,56,66,51,74,31,1,2
Player 3,Poland,GK,83,63,58,68,53,78,14,1,2
Player 4,Poland,DEF,82,62,57,67,87,91,39,4,2
Player 5,Poland,DEF,81,61,56,66,86,80,12,5,0
Player 6,Poland,DEF,78,58,53,63,75,79,18,4,1
Player 7,Poland,DEF,78,58,53,63,77,92,32,2,0
Player 8,Poland,DEF,81,61,56,66,81,73,20,2,0
Player 9,Poland,DEF,78,58,53,63,79,85,30,5,0
Player 10,Poland,DEF,77,57,52,62,74,88,5,3,1
Player 11,Poland,DEF,82,62,57,67,77,76,5,1,1
Player 12,Poland,MID,76,80,51,82,46,88,34,5,2
Player 13,Poland,MID,83,90,58,78,53,83,33,5,2
Player 14,Poland,MID,83,92,58,88,53,77,31,4,9
Player 15,Poland,MID,78,79,53,84,48,82,8,5,2
Player 16,Poland,MID,82,72,57,84,52,88,27,3,7
Player 17,Poland,MID,79,72,54,77,49,92,20,3,3
Player 18,Poland,MID,75,61,50,76,45,89,9,1,0
Player 19,Poland,MID,79,69,54,74,49,74,38,3,6
Player 20,Poland,FWD,81,79,82,66,51,92,16,13,2
Player 21,Poland,FWD,82,67,77,67,52,87,15,15,1
Player 22,Poland,FWD,82,91,72,67,52,90,25,0,6
Player 23,Poland,FWD,83,82,79,68,53,84,13,11,8
Player 1,Sweden,GK,81,61,56,66,51,82,15,0,2
Player 2,Sweden,GK,83,63,58,68,53,86,41,2,0
Player 3,Sweden,GK,76,56,51,61,46,88,19,2,0
Player 4,Sweden,DEF,81,61,56,66,88,84,34,4,2
Player 5,Sweden,DEF,75,55,50,60,81,72,24,1,0
Player 6,Sweden,DEF,78,58,53,63,73,73,21,1,1
Player 7,Sweden,DEF,82,62,57,67,79,92,8,2,0
Player 8,Sweden,DEF,78,58,53,63,86,70,22,5,2
Player 9,Sweden,DEF,78,58,53,63,74,91,40,1,1
Player 10,Sweden,DEF,78,58,53,63,84,71,11,4,2
Player 11,Sweden,DEF,74,54,49,59,80,79,31,4,0
Player 12,Sweden,MID,78,82,53,82,48,77,38,5,1
Player 13,Sweden,MID,76,76,51,74,46,73,7,2,1
Player 14,Sweden,MID,79,75,54,79,49,71,14,0,1
Player 15,Sweden,MID,83,84,58,87,53,82,45,4,10
Player 16,Sweden,MID,76,83,51,83,46,73,45,2,1
Player 17,Sweden,MID,78,88,53,84,48,86,32,0,9
Player 18,Sweden,MID,76,63,51,76,46,88,24,2,1
Player 19,Sweden,MID,75,82,50,75,45,77,24,4,3
Player 20,Sweden,FWD,74,65,65,59,44,78,5,15,2
Player 21,Sweden,FWD,82,79,81,67,52,86,28,5,9
Player 22,Sweden,FWD,83,84,74,68,53,86,19,1,6
Player 23,Sweden,FWD,74,76,69,59,44,72,6,5,7
Player 1,Wales,GK,74,54,49,59,44,83,32,4,0
Player 2,Wales,GK,73,53,48,58,43,76,45,2,0
Player 3,Wales,GK,77,57,52,62,47,71,16,3,1
Player 4,Wales,DEF,76,56,51,61,73,79,11,2,2
Player 5,Wales,DEF,81,61,56,66,84,86,35,1,2
Player 6,Wales,DEF,80,60,55,65,76,90,30,3,1
Player 7,Wales,DEF,76,56,51,61,78,86,6,5,1
Player 8,Wales,DEF,73,53,48,58,70,80,23,0,1
Player 9,Wales,DEF,82,62,57,67,88,86,33,1,2
Player 10,Wales,DEF,80,60,55,65,81,92,42,3,0
Player 11,Wales,DEF,78,58,53,63,80,82,22,5,2
Player 12,Wales,MID,74,72,49,74,44,88,35,5,0
Player 13,Wales,MID,76,66,51,79,46,89,25,5,10
Player 14,Wales,MID,78,69,53,82,48,76,41,1,5
Player 15,Wales,MID,77,82,52,75,47,75,24,4,10
Player 16,Wales,MID,80,77,55,87,50,88,31,3,6
Player 17,Wales,MID,73,71,48,79,43,86,38,2,7
Player 18,Wales,MID,76,65,51,78,46,81,43,3,7
Player 19,Wales,MID,76,84,51,80,46,71,13,4,8
Player 20,Wales,FWD,81,91,86,66,51,89,5,3,7
Player 21,Wales,FWD,79,79,78,64,49,80,25,12,8
Player 22,Wales,FWD,73,67,68,58,43,86,13,4,1
Player 23,Wales,FWD,76,70,67,61,46,72,24,0,5
Player 1,Egypt,GK,77,57,52,62,47,89,19,2,2
Player 2,Egypt,GK,77,57,52,62,47,84,24,2,1
Player 3,Egypt,GK,83,63,58,68,53,74,38,3,0
Player 4,Egypt,DEF,79,59,54,64,84,82,40,2,2
Player 5,Egypt,DEF,80,60,55,65,80,82,13,0,2
Player 6,Egypt,DEF,78,58,53,63,76,76,40,2,0
Player 7,Egypt,DEF,80,60,55,65,78,84,8,4,2
Player 8,Egypt,DEF,74,54,49,59,81,77,25,0,1
Player 9,Egypt,DEF,82,62,57,67,90,78,9,2,0
Player 10,Egypt,DEF,77,57,52,62,73,84,27,2,1
Player 11,Egypt,DEF,74,54,49,59,69,82,22,2,0
Player 12,Egypt,MID,82,82,57,84,52,86,41,1,3
Player 13,Egypt,MID,78,74,53,79,48,76,13,4,3
Player 14,Egypt,MID,81,85,56,83,51,91,41,5,5
Player 15,Egypt,MID,83,76,58,83,53,71,12,2,7
Player 16,Egypt,MID,76,81,51,74,46,70,14,2,4
Player 17,Egypt,MID,75,60,50,74,45,71,31,3,3
Player 18,Egypt,MID,83,74,58,83,53,85,11,0,10
Player 19,Egypt,MID,76,67,51,84,46,76,19,0,7
Player 20,Egypt,FWD,75,75,80,60,45,81,7,14,3
Player 21,Egypt,FWD,76,63,71,61,46,83,42,8,0
Player 22,Egypt,FWD,81,78,79,66,51,81,39,3,7
Player 23,Egypt,FWD,81,83,75,66,51,77,20,6,10
Player 1,Nigeria,GK,79,59,54,64,49,88,14,2,1
Player 2,Nigeria,GK,84,64,59,69,54,77,5,5,0
Player 3,Nigeria,GK,82,62,57,67,52,74,36,2,2
Player 4,Nigeria,DEF,83,63,58,68,89,78,37,3,1
Player 5,Nigeria,DEF,75,55,50,60,81,87,25,4,1
Player 6,Nigeria,DEF,75,55,50,60,83,90,26,0,0
Player 7,Nigeria,DEF,82,62,57,67,78,83,8,0,0
Player 8,Nigeria,DEF,75,55,50,60,72,84,40,4,1
Player 9,Nigeria,DEF,81,61,56,66,80,73,14,1,1
Player 10,Nigeria,DEF,80,60,55,65,82,72,12,3,0
Player 11,Nigeria,DEF,76,56,51,61,76,77,28,2,0
Player 12,Nigeria,MID,84,91,59,92,54,91,30,4,4
Player 13,Nigeria,MID,83,68,58,82,53,73,9,5,5
Player 14,Nigeria,MID,84,86,59,88,54,92,37,0,6
Player 15,Nigeria,MID,80,85,55,84,50,89,27,0,9
Player 16,Nigeria,MID,77,75,52,85,47,78,15,1,6
Player 17,Nigeria,MID,75,78,50,80,45,73,19,5,1
Player 18,Nigeria,MID,76,70,51,76,46,77,17,1,4
Player 19,Nigeria,MID,81,68,56,89,51,77,35,4,0
Player 20,Nigeria,FWD,83,69,86,68,53,85,7,13,3
Player 21,Nigeria,FWD,75,78,77,60,45,80,25,2,9
Player 22,Nigeria,FWD,82,71,74,67,52,82,41,14,6
Player 23,Nigeria,FWD,84,83,81,69,54,71,18,6,2
Player 1,Canada,GK,73,53,48,58,43,86,22,3,1
Player 2,Canada,GK,78,58,53,63,48,76,12,0,2
Player 3,Canada,GK,75,55,50,60,45,92,34,5,0
Player 4,Canada,DEF,81,61,56,66,80,91,28,1,0
Player 5,Canada,DEF,75,55,50,60,80,72,11,1,2
Player 6,Canada,DEF,78,58,53,63,76,86,18,1,2
Player 7,Canada,DEF,77,57,52,62,74,90,5,2,2
Player 8,Canada,DEF,80,60,55,65,79,72,18,0,1
Player 9,Canada,DEF,74,54,49,59,75,80,5,0,0
Player 10,Canada,DEF,81,61,56,66,77,76,34,3,1
Player 11,Canada,DEF,75,55,50,60,73,70,28,5,2
Player 12,Canada,MID,75,64,50,74,45,78,36,4,4
Player 13,Canada,MID,75,69,50,80,45,83,20,3,1
Player 14,Canada,MID,82,67,57,78,52,72,26,4,1
Player 15,Canada,MID,78,83,53,74,48,75,22,3,10
Player 16,Canada,MID,75,69,50,74,45,91,24,0,6
Player 17,Canada,MID,74,65,49,70,44,71,31,3,8
Player 18,Canada,MID,75,60,50,82,45,85,23,5,5
Player 19,Canada,MID,79,82,54,81,49,70,24,2,9
Player 20,Canada,FWD,82,74,81,67,52,76,12,8,0
Player 21,Canada,FWD,82,72,74,67,52,72,12,8,0
Player 22,Canada,FWD,74,82,67,59,44,74,7,13,2
Player 23,Canada,FWD,73,75,69,58,43,78,45,9,10
Player 1,Saudi Arabia,GK,76,56,51,61,46,81,40,0,1
Player 2,Saudi Arabia,GK,76,56,51,61,46,84,39,2,1
Player 3,Saudi Arabia,GK,73,53,48,58,43,85,28,1,1
Player 4,Saudi Arabia,DEF,80,60,55,65,85,76,25,5,2
Player 5,Saudi Arabia,DEF,77,57,52,62,78,88,39,0,1
Player 6,Saudi Arabia,DEF,73,53,48,58,80,86,25,3,0
Player 7,Saudi Arabia,DEF,78,58,53,63,86,82,34,5,2
Player 8,Saudi Arabia,DEF,76,56,51,61,78,82,10,1,0
Player 9,Saudi Arabia,DEF,79,59,54,64,82,84,35,2,2
Player 10,Saudi Arabia,DEF,77,57,52,62,81,76,7,5,1
Player 11,Saudi Arabia,DEF,74,54,49,59,76,81,33,1,2
Player 12,Saudi Arabia,MID,75,74,50,75,45,82,17,4,6
Player 13,Saudi Arabia,MID,72,66,47,70,42,80,44,1,10
Player 14,Saudi Arabia,MID,72,75,47,69,42,76,40,0,6
Player 15,Saudi Arabia,MID,72,69,47,71,42,84,31,5,8
Player 16,Saudi Arabia,MID,74,84,49,81,44,72,12,1,5
Player 17,Saudi Arabia,MID,76,86,51,76,46,90,10,5,3
Player 18,Saudi Arabia,MID,79,67,54,76,49,72,34,0,4
Player 19,Saudi Arabia,MID,77,68,52,80,47,83,20,4,5
Player 20,Saudi Arabia,FWD,80,69,71,65,50,71,42,4,6
Player 21,Saudi Arabia,FWD,71,70,69,56,41,91,16,9,4
Player 22,Saudi Arabia,FWD,76,61,67,61,46,83,24,10,1
Player 23,Saudi Arabia,FWD,79,79,70,64,49,77,14,0,0
Player 1,Cameroon,GK,78,58,53,63,48,77,36,3,2
Player 2,Cameroon,GK,76,56,51,61,46,79,19,1,1
Player 3,Cameroon,GK,81,61,56,66,51,76,20,0,2
Player 4,Cameroon,DEF,80,60,55,65,84,76,15,1,1
Player 5,Cameroon,DEF,80,60,55,65,78,85,12,0,1
Player 6,Cameroon,DEF,78,58,53,63,79,79,16,0,0
Player 7,Cameroon,DEF,76,56,51,61,77,90,43,0,2
Player 8,Cameroon,DEF,78,58,53,63,85,75,17,1,2
Player 9,Cameroon,DEF,76,56,51,61,82,91,43,4,1
Player 10,Cameroon,DEF,73,53,48,58,71,76,22,1,2
Player 11,Cameroon,DEF,72,52,47,57,69,77,26,5,2
Player 12,Cameroon,MID,73,59,48,74,43,87,37,4,3
Player 13,Cameroon,MID,77,84,52,82,47,79,40,3,10
Player 14,Cameroon,MID,78,85,53,78,48,85,7,2,5
Player 15,Cameroon,MID,79,87,54,83,49,80,20,3,7
Player 16,Cameroon,MID,76,67,51,76,46,89,40,0,10
Player 17,Cameroon,MID,77,84,52,79,47,92,34,4,1
Player 18,Cameroon,MID,75,61,50,79,45,78,45,0,2
Player 19,Cameroon,MID,78,88,53,86,48,87,44,1,5
Player 20,Cameroon,FWD,75,84,71,60,45,82,5,12,2
Player 21,Cameroon,FWD,77,62,72,62,47,74,33,12,2
Player 22,Cameroon,FWD,77,84,70,62,47,78,7,8,1
Player 23,Cameroon,FWD,72,82,62,57,42,87,20,7,7
Player 1,Ghana,GK,80,60,55,65,50,90,22,5,2
Player 2,Ghana,GK,79,59,54,64,49,90,13,1,2
Player 3,Ghana,GK,71,51,46,56,41,90,42,0,1
Player 4,Ghana,DEF,79,59,54,64,75,85,16,5,0
Player 5,Ghana,DEF,71,51,46,56,69,81,44,2,2
Player 6,Ghana,DEF,74,54,49,59,74,91,16,5,0
Player 7,Ghana,DEF,77,57,52,62,74,87,25,3,2
Player 8,Ghana,DEF,71,51,46,56,70,70,16,4,2
Player 9,Ghana,DEF,72,52,47,57,67,83,20,5,1
Player 10,Ghana,DEF,74,54,49,59,73,85,11,5,1
Player 11,Ghana,DEF,76,56,51,61,77,76,33,4,2
Player 12,Ghana,MID,71,76,46,78,41,83,30,4,0
Player 13,Ghana,MID,79,71,54,79,49,81,34,2,10
Player 14,Ghana,MID,76,74,51,75,46,89,15,0,0
Player 15,Ghana,MID,77,71,52,76,47,79,18,2,0
Player 16,Ghana,MID,74,65,49,79,44,90,16,1,8
Player 17,Ghana,MID,79,65,54,83,49,79,41,3,10
Player 18,Ghana,MID,72,65,47,68,42,80,28,1,0
Player 19,Ghana,MID,78,74,53,83,48,90,23,0,7
Player 20,Ghana,FWD,79,72,81,64,49,83,13,3,7
Player 21,Ghana,FWD,76,76,69,61,46,84,42,12,6
Player 22,Ghana,FWD,74,70,64,59,44,91,31,3,1
Player 23,Ghana,FWD,77,64,73,62,47,84,18,10,8
Player 1,Tunisia,GK,80,60,55,65,50,90,37,3,2
Player 2,Tunisia,GK,74,54,49,59,44,70,37,1,0
Player 3,Tunisia,GK,77,57,52,62,47,81,14,5,1
Player 4,Tunisia,DEF,72,52,47,57,67,73,15,4,1
Player 5,Tunisia,DEF,75,55,50,60,74,76,28,1,2
Player 6,Tunisia,DEF,74,54,49,59,74,91,13,2,2
Player 7,Tunisia,DEF,74,54,49,59,74,81,38,4,2
Player 8,Tunisia,DEF,74,54,49,59,81,75,9,3,2
Player 9,Tunisia,DEF,78,58,53,63,81,89,11,3,1
Player 10,Tunisia,DEF,74,54,49,59,72,91,39,4,2
Player 11,Tunisia,DEF,75,55,50,60,75,81,5,0,0
Player 12,Tunisia,MID,76,86,51,83,46,75,17,4,3
Player 13,Tunisia,MID,79,88,54,86,49,86,32,2,7
Player 14,Tunisia,MID,80,68,55,76,50,85,33,2,5
Player 15,Tunisia,MID,80,74,55,85,50,84,29,3,8
Player 16,Tunisia,MID,74,59,49,81,44,73,22,2,1
Player 17,Tunisia,MID,73,59,48,80,43,74,39,2,4
Player 18,Tunisia,MID,72,76,47,71,42,81,39,0,2
Player 19,Tunisia,MID,77,83,52,80,47,92,35,0,2
Player 20,Tunisia,FWD,79,66,70,64,49,88,31,11,1
Player 21,Tunisia,FWD,78,88,70,63,48,87,44,9,10
Player 22,Tunisia,FWD,77,79,76,62,47,76,31,6,4
Player 23,Tunisia,FWD,79,64,77,64,49,78,7,3,7
Player 1,Chile,GK,82,62,57,67,52,81,18,4,2
Player 2,Chile,GK,79,59,54,64,49,92,30,1,1
Player 3,Chile,GK,77,57,52,62,47,83,39,0,1
Player 4,Chile,DEF,82,62,57,67,82,82,10,4,2
Player 5,Chile,DEF,74,54,49,59,82,90,41,4,1
Player 6,Chile,DEF,79,59,54,64,74,88,43,1,2
Player 7,Chile,DEF,80,60,55,65,86,79,14,4,2
Player 8,Chile,DEF,74,54,49,59,74,82,9,1,1
Player 9,Chile,DEF,77,57,52,62,85,76,30,2,2
Player 10,Chile,DEF,78,58,53,63,76,81,26,1,1
Player 11,Chile,DEF,75,55,50,60,76,79,36,3,2
Player 12,Chile,MID,74,75,49,82,44,83,42,5,6
Player 13,Chile,MID,80,73,55,88,50,77,35,5,0
Player 14,Chile,MID,80,77,55,75,50,73,38,2,6
Player 15,Chile,MID,78,69,53,74,48,78,6,0,0
Player 16,Chile,MID,82,70,57,79,52,92,34,2,1
Player 17,Chile,MID,76,78,51,80,46,80,22,0,10
Player 18,Chile,MID,76,69,51,74,46,84,12,3,3
Player 19,Chile,MID,74,80,49,80,44,81,13,1,5
Player 20,Chile,FWD,74,59,71,59,44,91,23,5,1
Player 21,Chile,FWD,73,75,66,58,43,70,17,3,3
Player 22,Chile,FWD,76,70,76,61,46,71,32,11,5
Player 23,Chile,FWD,78,85,75,63,48,84,43,13,0
Player 1,Peru,GK,76,56,51,61,46,76,7,1,2
Player 2,Peru,GK,77,57,52,62,47,78,14,3,1
Player 3,Peru,GK,74,54,49,59,44,91,12,1,2
Player 4,Peru,DEF,72,52,47,57,68,71,43,3,1
Player 5,Peru,DEF,77,57,52,62,76,76,40,1,2
Player 6,Peru,DEF,76,56,51,61,84,81,30,4,0
Player 7,Peru,DEF,80,60,55,65,87,78,13,1,0
Player 8,Peru,DEF,74,54,49,59,75,78,32,0,2
Player 9,Peru,DEF,78,58,53,63,82,87,25,4,1
Player 10,Peru,DEF,73,53,48,58,73,90,43,5,0
Player 11,Peru,DEF,76,56,51,61,78,73,5,4,1
Player 12,Peru,MID,73,68,48,69,43,92,21,3,5
Player 13,Peru,MID,76,78,51,71,46,72,24,4,3
