country,rank,points,confederation,date
England,4,1812,UEFA,2024-10-27
Brazil,5,1801,CONMEBOL,2024-10-27
Portugal,6,1748,UEFA,2024-10-27
Belgium,7,1756,UEFA,2024-10-27
Netherlands,8,1754,UEFA,2024-10-27
Italy,9,1712,UEFA,2024-10-27
Croatia,10,1710,UEFA,2024-10-27
Colombia,11,1698,CONMEBOL,2024-10-27
Uruguay,12,1657,CONMEBOL,2024-10-27
Germany,13,1698,UEFA,2024-10-27
USA,14,1652,CONCACAF,2024-10-27
Senegal,15,1633,CAF,2024-10-27
Morocco,16,1685,CAF,2024-10-27
Mexico,17,1644,CONCACAF,2024-10-27
Japan,18,1629,AFC,2024-10-27
Denmark,19,1606,UEFA,2024-10-27
Turkey,20,1563,UEFA,2024-10-27
Switzerland,21,1626,UEFA,2024-10-27
Australia,22,1566,AFC,2024-10-27
Iran,23,1617,AFC,2024-10-27
South Korea,24,1591,AFC,2024-10-27
Poland,25,1548,UEFA,2024-10-27
Wales,26,1511,UEFA,2024-10-27
Ecuador,27,1535,CONMEBOL,2024-10-27
Ukraine,28,1568,UEFA,2024-10-27
Nigeria,29,1499,CAF,2024-10-27
Austria,30,1585,UEFA,2024-10-27
Egypt,31,1521,CAF,2024-10-27
Chile,32,1494,CONMEBOL,2024-10-27
Peru,33,1484,CONMEBOL,2024-10-27
Sweden,34,1526,UEFA,2024-10-27
Tunisia,35,1481,CAF,2024-10-27
Qatar,36,1488,AFC,2024-10-27
Canada,37,1492,CONCACAF,2024-10-27
Saudi Arabia,38,1441,AFC,2024-10-27
Algeria,39,1473,CAF,2024-10-27
Panama,40,1479,CONCACAF,2024-10-27
Cameroon,41,1462,CAF,2024-10-27
South Africa,42,1425,CAF,2024-10-27
Jamaica,43,1418,CONCACAF,2024-10-27
Costa Rica,44,1421,CONCACAF,2024-10-27
Ghana,45,1380,CAF,2024-10-27
Iraq,46,1412,AFC,2024-10-27
Uzbekistan,47,1407,AFC,2024-10-27
New Zealand,48,1205,OFC,2024-10-27
France,1,1846,UEFA,2025-04-25
Spain,2,1818,UEFA,2025-04-25
Argentina,3,1873,CONMEBOL,2025-04-25
Belgium,4,1782,UEFA,2025-04-25
Brazil,5,1794,CONMEBOL,2025-04-25
England,6,1792,UEFA,2025-04-25
Germany,7,1698,UEFA,2025-04-25
Portugal,8,1738,UEFA,2025-04-25
Morocco,9,1667,CAF,2025-04-25
Netherlands,10,1732,UEFA,2025-04-25
Italy,11,1714,UEFA,2025-04-25
Croatia,12,1709,UEFA,2025-04-25
Colombia,13,1704,CONMEBOL,2025-04-25
Senegal,14,1633,CAF,2025-04-25
Uruguay,15,1654,CONMEBOL,2025-04-25
Mexico,16,1655,CONCACAF,2025-04-25
Japan,17,1619,AFC,2025-04-25
USA,18,1656,CONCACAF,2025-04-25
Iran,19,1610,AFC,2025-04-25
South Korea,20,1585,AFC,2025-04-25
Switzerland,21,1624,UEFA,2025-04-25
Poland,22,1530,UEFA,2025-04-25
Ukraine,23,1569,UEFA,2025-04-25
Denmark,24,1592,UEFA,2025-04-25
Australia,25,1591,AFC,2025-04-25
Ecuador,26,1548,CONMEBOL,2025-04-25
Austria,27,1556,UEFA,2025-04-25
Sweden,28,1530,UEFA,2025-04-25
Turkey,29,1546,UEFA,2025-04-25
Nigeria,30,1518,CAF,2025-04-25
Wales,31,1532,UEFA,2025-04-25
Egypt,32,1523,CAF,2025-04-25
Chile,33,1484,CONMEBOL,2025-04-25
Panama,34,1462,CONCACAF,2025-04-25
Cameroon,35,1463,CAF,2025-04-25
Peru,36,1489,CONMEBOL,2025-04-25
Algeria,37,1476,CAF,2025-04-25
Canada,38,1495,CONCACAF,2025-04-25
Saudi Arabia,39,1454,AFC,2025-04-25
Qatar,40,1491,AFC,2025-04-25
Tunisia,41,1495,CAF,2025-04-25
Jamaica,42,1435,CONCACAF,2025-04-25
Iraq,43,1407,AFC,2025-04-25
Costa Rica,44,1443,CONCACAF,2025-04-25
Uzbekistan,45,1404,AFC,2025-04-25
South Africa,46,1405,CAF,2025-04-25
Ghana,47,1391,CAF,2025-04-25
New Zealand,48,1205,OFC,2025-04-25
Argentina,1,1848,CONMEBOL,2025-10-22
France,2,1850,UEFA,2025-10-22
Spain,3,1825,UEFA,2025-10-22
England,4,1792,UEFA,2025-10-22
Belgium,5,1777,UEFA,2025-10-22
Brazil,6,1805,CONMEBOL,2025-10-22
Netherlands,7,1736,UEFA,2025-10-22
Portugal,8,1742,UEFA,2025-10-22
Germany,9,1708,UEFA,2025-10-22
Italy,10,1724,UEFA,2025-10-22
Morocco,11,1661,CAF,2025-10-22
Croatia,12,1707,UEFA,2025-10-22
Uruguay,13,1677,CONMEBOL,2025-10-22
Colombia,14,1679,CONMEBOL,2025-10-22
Mexico,15,1664,CONCACAF,2025-10-22
USA,16,1645,CONCACAF,2025-10-22
Senegal,17,1639,CAF,2025-10-22
Iran,18,1612,AFC,2025-10-22
Ukraine,19,1567,UEFA,2025-10-22
Australia,20,1581,AFC,2025-10-22
Denmark,21,1598,UEFA,2025-10-22
Japan,22,1645,AFC,2025-10-22
South Korea,23,1602,AFC,2025-10-22
Switzerland,24,1614,UEFA,2025-10-22
Turkey,25,1550,UEFA,2025-10-22
Ecuador,26,1559,CONMEBOL,2025-10-22
Austria,27,1576,UEFA,2025-10-22
Wales,28,1523,UEFA,2025-10-22
Egypt,29,1517,CAF,2025-10-22
Poland,30,1536,UEFA,2025-10-22
Sweden,31,1521,UEFA,2025-10-22
Canada,32,1498,CONCACAF,2025-10-22
Panama,33,1472,CONCACAF,2025-10-22
Nigeria,34,1508,CAF,2025-10-22
Algeria,35,1473,CAF,2025-10-22
Qatar,36,1488,AFC,2025-10-22
Peru,37,1473,CONMEBOL,2025-10-22
Saudi Arabia,38,1430,AFC,2025-10-22
Tunisia,39,1489,CAF,2025-10-22
Jamaica,40,1431,CONCACAF,2025-10-22
Chile,41,1470,CONMEBOL,2025-10-22
Costa Rica,42,1422,CONCACAF,2025-10-22
Uzbekistan,43,1391,AFC,2025-10-22
Cameroon,44,1446,CAF,2025-10-22
South Africa,45,1417,CAF,2025-10-22
Iraq,46,1411,AFC,2025-10-22
Ghana,47,1398,CAF,2025-10-22
New Zealand,48,1220,OFC,2025-10-22
