date,home_team,away_team,home_score,away_score,tournament,neutral
2019-03-22,England,Denmark,1,0,AFC Asian Cup,1
2019-03-22,Germany,South Korea,2,4,UEFA Euro,0
2019-03-22,Portugal,Belgium,2,0,World Cup Qualification,1
2019-03-22,Uzbekistan,Peru,0,0,Copa America,1
2019-03-22,Italy,Egypt,1,1,UEFA Euro,1
2019-03-22,USA,Ghana,3,0,Nations League,0
2019-03-22,Netherlands,Austria,4,0,Nations League,0
2019-03-22,Canada,Australia,0,2,Nations League,1
2019-03-22,Costa Rica,Ecuador,1,4,Friendly,1
2019-03-22,Chile,Ukraine,0,0,World Cup Qualification,1
2019-03-22,Switzerland,Argentina,0,0,AFC Asian Cup,0
2019-04-02,Denmark,Chile,0,2,AFC Asian Cup,1
2019-04-02,Costa Rica,Saudi Arabia,0,2,World Cup Qualification,1
2019-04-02,Tunisia,Nigeria,5,0,AFC Asian Cup,0
2019-04-02,Brazil,Denmark,3,0,Copa America,1
2019-04-02,Jamaica,Morocco,1,2,AFC Asian Cup,1
2019-04-02,Croatia,Poland,3,2,World Cup Qualification,0
2019-04-02,Germany,Spain,0,0,UEFA Euro,0
2019-04-02,Iran,Saudi Arabia,3,2,UEFA Euro,1
2019-04-02,Jamaica,Qatar,2,0,AFC Asian Cup,1
2019-04-02,Nigeria,Australia,0,0,Africa Cup of Nations,0
2019-04-02,England,France,0,1,World Cup Qualification,1
2019-04-02,Japan,Uruguay,2,0,World Cup Qualification,1
2019-04-02,England,Morocco,0,0,Nations League,1
2019-04-02,Peru,Uzbekistan,0,1,Nations League,1
2019-04-02,Spain,Panama,2,0,Copa America,1
2019-04-02,Turkey,Japan,1,4,Copa America,0
2019-04-02,Morocco,Nigeria,1,0,Copa America,1
2019-04-02,Uruguay,Uzbekistan,1,0,Copa America,1
2019-04-02,Morocco,Brazil,3,5,UEFA Euro,0
2019-04-02,Chile,USA,0,0,UEFA Euro,1
2019-04-20,Uzbekistan,Germany,0,4,AFC Asian Cup,1
2019-04-20,Algeria,Costa Rica,0,0,AFC Asian Cup,0
2019-04-20,Canada,Senegal,0,0,AFC Asian Cup,1
2019-04-20,Mexico,Germany,1,1,Africa Cup of Nations,1
2019-04-20,Cameroon,Wales,0,0,Africa Cup of Nations,1
2019-04-20,Sweden,Netherlands,1,3,Nations League,0
2019-04-20,Jamaica,Japan,2,2,World Cup Qualification,1
2019-04-20,Chile,Spain,0,1,AFC Asian Cup,1
2019-04-20,Iraq,Ghana,1,1,Nations League,0
2019-04-20,Australia,Turkey,0,3,World Cup Qualification,0
2019-04-20,Costa Rica,France,0,0,Copa America,1
2019-04-20,Panama,Iraq,0,0,World Cup Qualification,0
2019-04-20,South Africa,Japan,3,3,Nations League,0
2019-05-12,South Korea,Cameroon,3,1,AFC Asian Cup,1
2019-05-12,Colombia,Mexico,0,4,Friendly,0
2019-05-12,Chile,Netherlands,0,0,World Cup Qualification,1
2019-05-12,Chile,France,0,1,Copa America,1
2019-05-12,Wales,Ecuador,1,0,AFC Asian Cup,1
2019-05-12,Turkey,Wales,2,2,Friendly,1
2019-05-12,Sweden,Morocco,0,0,Africa Cup of Nations,1
2019-05-12,Ecuador,Chile,3,1,AFC Asian Cup,0
2019-05-12,Australia,Poland,0,0,UEFA Euro,1
2019-05-12,Algeria,Poland,0,1,Friendly,1
2019-05-12,Wales,Qatar,3,0,World Cup Qualification,0
2019-05-12,Germany,France,0,1,World Cup Qualification,0
2019-05-12,Croatia,Japan,2,5,Friendly,0
2019-05-12,Cameroon,Mexico,3,0,Copa America,0
2019-05-12,Iraq,Algeria,0,0,AFC Asian Cup,0
2019-05-12,Spain,Ukraine,2,2,Nations League,1
2019-05-12,Austria,Iraq,0,0,World Cup Qualification,1
2019-05-12,Belgium,Ecuador,3,2,Copa America,0
2019-05-12,Italy,Netherlands,1,0,Copa America,1
2019-05-12,Iraq,Mexico,0,1,AFC Asian Cup,0
2019-06-05,Ecuador,Jamaica,1,0,Copa America,0
2019-06-05,France,Iran,1,0,Copa America,0
2019-06-05,Argentina,Croatia,0,4,World Cup Qualification,0
2019-06-05,Denmark,Ghana,2,1,Africa Cup of Nations,1
2019-06-05,Argentina,France,0,4,AFC Asian Cup,1
2019-06-05,Saudi Arabia,Germany,1,3,Africa Cup of Nations,0
2019-06-05,Saudi Arabia,England,0,2,Friendly,1
2019-06-05,Jamaica,Sweden,0,1,AFC Asian Cup,1
2019-06-05,Poland,Austria,1,2,Friendly,1
2019-06-05,Croatia,Algeria,1,2,Copa America,1
2019-06-05,Belgium,Morocco,1,0,UEFA Euro,0
2019-06-05,Spain,Cameroon,3,0,World Cup Qualification,1
2019-06-05,Germany,Egypt,0,1,Africa Cup of Nations,0
2019-06-05,Ecuador,Costa Rica,2,2,UEFA Euro,1
2019-06-05,Switzerland,Saudi Arabia,0,2,World Cup Qualification,0
2019-06-05,Uzbekistan,Spain,2,1,Copa America,0
2019-06-05,Senegal,Turkey,0,1,World Cup Qualification,1
2019-06-05,Costa Rica,Spain,0,3,UEFA Euro,0
2019-06-05,Saudi Arabia,Algeria,3,0,Friendly,1
2019-06-05,Netherlands,Colombia,0,0,World Cup Qualification,1
2019-06-05,South Korea,Colombia,0,0,Friendly,1
2019-06-05,Australia,Sweden,4,4,Copa America,0
2019-06-28,Iraq,Brazil,0,0,Friendly,0
2019-06-28,Peru,Algeria,1,1,Africa Cup of Nations,0
2019-06-28,Peru,Sweden,1,0,AFC Asian Cup,0
2019-06-28,South Korea,Jamaica,1,0,Africa Cup of Nations,1
2019-06-28,Nigeria,Tunisia,1,0,Copa America,1
2019-06-28,Wales,Chile,1,2,World Cup Qualification,0
2019-06-28,Denmark,Poland,4,0,World Cup Qualification,1
2019-06-28,Denmark,Chile,0,0,World Cup Qualification,0
2019-06-28,Switzerland,Peru,1,0,Africa Cup of Nations,0
2019-06-28,Italy,Ecuador,0,0,Copa America,1
2019-06-28,Panama,Ecuador,2,2,World Cup Qualification,1
2019-06-28,Poland,Iraq,2,0,Copa America,1
2019-06-28,Portugal,Ghana,1,3,Africa Cup of Nations,1
2019-06-28,Senegal,Spain,0,0,AFC Asian Cup,1
2019-06-28,Ukraine,Uruguay,0,1,Africa Cup of Nations,0
2019-06-28,France,Nigeria,1,4,World Cup Qualification,0
2019-06-28,Croatia,Australia,2,0,Copa America,1
2019-06-28,Italy,Wales,4,4,Copa America,1
2019-06-28,Brazil,USA,1,2,Africa Cup of Nations,0
2019-06-28,Netherlands,England,3,2,World Cup Qualification,1
2019-06-28,Colombia,USA,0,0,AFC Asian Cup,0
2019-07-14,Tunisia,Ecuador,2,5,UEFA Euro,0
2019-07-14,Panama,Jamaica,2,0,World Cup Qualification,1
2019-07-14,Mexico,Egypt,2,2,AFC Asian Cup,0
2019-07-14,Japan,USA,1,2,World Cup Qualification,0
2019-07-14,England,Iran,0,0,Nations League,0
2019-07-14,Egypt,France,0,1,Friendly,0
2019-07-14,Netherlands,USA,0,0,UEFA Euro,0
2019-07-14,Poland,Portugal,0,0,Copa America,1
2019-07-14,Turkey,South Korea,1,0,UEFA Euro,0
2019-07-14,Morocco,Saudi Arabia,0,0,UEFA Euro,0
2019-07-14,Uruguay,Saudi Arabia,3,0,UEFA Euro,0
2019-07-14,New Zealand,Nigeria,0,0,AFC Asian Cup,0
2019-07-14,Croatia,Senegal,0,4,Friendly,1
2019-07-14,Algeria,New Zealand,1,0,Friendly,1
2019-07-14,Netherlands,Wales,0,0,Copa America,0
2019-07-14,Senegal,Cameroon,1,0,AFC Asian Cup,1
2019-07-14,Netherlands,Belgium,0,1,AFC Asian Cup,1
2019-07-14,Croatia,Austria,1,1,Africa Cup of Nations,1
2019-07-14,Senegal,Brazil,1,1,Copa America,0
2019-07-14,Germany,Canada,0,0,Friendly,1
2019-07-14,Ecuador,South Korea,0,1,Africa Cup of Nations,0
2019-07-14,Uzbekistan,Tunisia,2,0,Africa Cup of Nations,1
2019-07-14,Iraq,Switzerland,1,0,World Cup Qualification,0
2019-08-01,Tunisia,Belgium,4,0,UEFA Euro,1
2019-08-01,Croatia,Germany,1,1,UEFA Euro,1
2019-08-01,Ghana,Iran,0,1,UEFA Euro,1
2019-08-01,Iran,Senegal,0,2,Friendly,0
2019-08-01,Egypt,Croatia,0,0,UEFA Euro,0
2019-08-01,Peru,Senegal,0,0,Copa America,1
2019-08-01,Tunisia,France,0,2,UEFA Euro,1
2019-08-01,Ghana,Japan,4,0,Copa America,0
2019-08-01,Senegal,Uzbekistan,1,0,Copa America,0
2019-08-01,USA,Italy,0,2,UEFA Euro,1
2019-08-17,Colombia,Spain,0,0,Copa America,0
2019-08-17,Austria,USA,2,0,Copa America,0
2019-08-17,Belgium,Ukraine,3,0,Friendly,0
2019-08-17,Croatia,France,0,0,Copa America,0
2019-08-17,Switzerland,Austria,1,2,AFC Asian Cup,1
2019-08-17,Brazil,Jamaica,0,1,Africa Cup of Nations,1
2019-08-17,France,Mexico,2,4,AFC Asian Cup,0
2019-08-17,Wales,Denmark,0,3,Copa America,0
2019-08-17,Ghana,Croatia,2,0,World Cup Qualification,1
2019-08-17,Wales,Algeria,3,3,Copa America,1
2019-08-17,Australia,Uzbekistan,0,0,AFC Asian Cup,1
2019-08-17,Jamaica,Algeria,0,2,Africa Cup of Nations,0
2019-08-17,Netherlands,Argentina,0,0,AFC Asian Cup,0
2019-08-17,Senegal,Belgium,1,2,Nations League,0
2019-08-17,Argentina,Jamaica,1,1,UEFA Euro,1
2019-08-17,Ukraine,Spain,0,0,UEFA Euro,1
2019-08-17,Croatia,Denmark,2,0,Africa Cup of Nations,0
2019-08-17,Iraq,Argentina,2,1,Nations League,1
2019-08-17,Wales,Mexico,2,3,Africa Cup of Nations,0
2019-08-17,Australia,France,1,0,Friendly,0
2019-08-17,Morocco,England,1,0,AFC Asian Cup,1
2019-08-17,Egypt,Cameroon,2,1,Friendly,1
2019-08-17,Ecuador,Colombia,1,3,Nations League,1
2019-08-17,Jamaica,Uzbekistan,1,1,Nations League,1
2019-08-17,South Korea,England,2,2,Nations League,1
2019-09-11,Germany,Austria,2,3,World Cup Qualification,1
2019-09-11,Denmark,Austria,2,0,UEFA Euro,0
2019-09-11,Ecuador,Sweden,0,0,Friendly,0
2019-09-11,Argentina,Uzbekistan,1,0,AFC Asian Cup,0
2019-09-11,Canada,Costa Rica,0,3,AFC Asian Cup,1
2019-09-11,Jamaica,Panama,2,0,Nations League,1
2019-09-11,Denmark,Nigeria,0,0,World Cup Qualification,0
2019-09-11,Jamaica,Sweden,0,2,Africa Cup of Nations,1
2019-09-11,Uruguay,Poland,0,0,Copa America,0
2019-09-11,Morocco,Japan,0,2,World Cup Qualification,1
2019-09-11,Ukraine,Belgium,1,0,Friendly,1
2019-09-11,South Africa,Tunisia,2,1,Nations League,0
2019-09-11,Poland,Argentina,0,1,Friendly,0
2019-09-11,Argentina,Nigeria,1,0,Africa Cup of Nations,0
2019-09-11,Brazil,Ukraine,2,2,Nations League,0
2019-09-11,Poland,Saudi Arabia,2,0,Friendly,0
2019-09-22,Chile,Costa Rica,2,0,World Cup Qualification,1
2019-09-22,Belgium,Ukraine,2,0,Copa America,0
2019-09-22,Ecuador,Portugal,0,0,World Cup Qualification,0
2019-09-22,Ghana,Poland,1,2,UEFA Euro,0
2019-09-22,South Korea,Uruguay,0,0,Africa Cup of Nations,1
2019-09-22,South Africa,England,0,3,Africa Cup of Nations,1
2019-09-22,Ukraine,Chile,1,0,Africa Cup of Nations,1
2019-09-22,Morocco,Poland,2,0,Friendly,1
2019-09-22,Australia,Ukraine,0,2,Friendly,1
2019-09-22,Qatar,Croatia,0,3,Africa Cup of Nations,0
2019-09-22,Austria,Portugal,0,1,World Cup Qualification,0
2019-09-22,Austria,Canada,2,0,UEFA Euro,0
2019-09-22,Ukraine,Argentina,0,1,Africa Cup of Nations,0
2019-09-22,Belgium,Senegal,0,0,World Cup Qualification,1
2019-10-02,Cameroon,Morocco,0,0,AFC Asian Cup,0
2019-10-02,Denmark,Netherlands,0,1,Nations League,0
2019-10-02,Sweden,Turkey,0,0,UEFA Euro,0
2019-10-02,Sweden,Uruguay,0,3,AFC Asian Cup,0
2019-10-02,Peru,Italy,0,0,World Cup Qualification,1
2019-10-02,Sweden,Costa Rica,2,0,AFC Asian Cup,0
2019-10-02,Netherlands,Panama,0,0,Copa America,1
2019-10-02,Qatar,Turkey,0,0,World Cup Qualification,1
2019-10-02,South Korea,Cameroon,3,0,World Cup Qualification,0
2019-10-02,Qatar,Costa Rica,0,0,World Cup Qualification,0
2019-10-02,Denmark,Panama,0,3,World Cup Qualification,1
2019-10-02,New Zealand,Senegal,1,0,Nations League,0
2019-10-02,Jamaica,Denmark,2,0,Africa Cup of Nations,1
2019-10-02,Spain,South Korea,1,0,Friendly,1
2019-10-02,Chile,Turkey,2,0,Copa America,0
2019-10-02,Ecuador,Australia,2,2,UEFA Euro,0
2019-10-02,Tunisia,Sweden,0,0,Copa America,0
2019-10-02,Tunisia,Chile,2,0,Copa America,1
2019-10-02,Cameroon,Uzbekistan,0,3,Copa America,1
2019-10-02,Ghana,Senegal,0,1,World Cup Qualification,0
2019-10-02,Cameroon,Ukraine,1,0,Nations League,1
2019-10-02,Argentina,Colombia,0,0,Africa Cup of Nations,0
2019-10-02,Germany,Peru,1,0,AFC Asian Cup,0
2019-10-22,Peru,Uruguay,0,2,Copa America,0
2019-10-22,Germany,Qatar,3,1,Friendly,1
2019-10-22,Austria,Spain,0,1,Friendly,0
2019-10-22,Jamaica,Morocco,2,4,UEFA Euro,1
2019-10-22,Saudi Arabia,Denmark,0,0,Africa Cup of Nations,0
2019-10-22,Argentina,Egypt,2,0,Copa America,0
2019-10-22,Canada,Denmark,0,0,Copa America,0
2019-10-22,Nigeria,Algeria,0,0,AFC Asian Cup,0
2019-10-22,Sweden,New Zealand,0,0,Africa Cup of Nations,0
2019-10-22,Costa Rica,South Africa,3,0,Copa America,0
2019-10-22,Netherlands,Ghana,1,1,UEFA Euro,1
2019-10-22,Australia,Qatar,2,0,Nations League,1
2019-10-22,Switzerland,Saudi Arabia,1,3,Friendly,0
2019-10-22,Spain,Uzbekistan,2,0,Copa America,0
2019-10-22,Mexico,Sweden,0,0,Nations League,0
2019-10-22,Japan,Mexico,0,0,UEFA Euro,1
2019-10-22,Denmark,Costa Rica,1,0,Copa America,0
2019-10-22,Senegal,Poland,3,3,World Cup Qualification,1
2019-10-22,Chile,South Korea,3,0,Africa Cup of Nations,1
2019-10-22,Costa Rica,Senegal,1,3,Africa Cup of Nations,1
2019-10-22,Ghana,Nigeria,2,1,AFC Asian Cup,0
2019-10-22,USA,Iran,3,0,Friendly,0
2019-10-22,Cameroon,Morocco,0,1,Africa Cup of Nations,0
2019-10-22,Ukraine,Colombia,0,3,Friendly,1
2019-10-22,Qatar,Sweden,0,0,AFC Asian Cup,1
2019-11-15,Austria,Chile,3,0,World Cup Qualification,0
2019-11-15,Turkey,Sweden,0,0,AFC Asian Cup,1
2019-11-15,Sweden,Cameroon,5,0,Africa Cup of Nations,0
2019-11-15,Canada,Ecuador,3,2,Friendly,0
2019-11-15,Peru,Chile,0,1,World Cup Qualification,1
2019-11-15,Italy,Japan,2,0,Nations League,0
2019-11-15,Qatar,Ukraine,0,2,World Cup Qualification,0
2019-11-15,Cameroon,Turkey,4,0,Africa Cup of Nations,1
2019-11-15,Panama,Colombia,2,0,AFC Asian Cup,1
2019-11-15,Canada,Algeria,0,2,Africa Cup of Nations,0
2019-11-15,Canada,Iraq,3,0,Africa Cup of Nations,1
2019-11-15,Colombia,Austria,1,0,World Cup Qualification,0
2019-11-15,Senegal,Poland,2,0,AFC Asian Cup,1
2019-11-15,Italy,Japan,1,1,Copa America,0
2019-11-15,Cameroon,Canada,0,2,Nations League,0
2019-11-15,Croatia,Portugal,0,2,Friendly,0
2019-11-15,Japan,Germany,2,1,World Cup Qualification,1
2019-11-15,Ecuador,Iraq,2,4,World Cup Qualification,0
2019-11-15,Qatar,Jamaica,0,3,UEFA Euro,1
2019-11-15,Panama,Iraq,1,0,Africa Cup of Nations,0
2019-11-15,Iran,Egypt,0,2,Africa Cup of Nations,1
2019-11-25,Switzerland,Tunisia,2,0,Africa Cup of Nations,0
2019-11-25,Netherlands,Tunisia,3,0,AFC Asian Cup,1
2019-11-25,Panama,Cameroon,1,0,AFC Asian Cup,0
2019-11-25,Ecuador,Spain,2,2,Africa Cup of Nations,1
2019-11-25,Mexico,Colombia,0,0,UEFA Euro,1
2019-11-25,Morocco,England,1,0,Africa Cup of Nations,1
2019-11-25,Morocco,Uzbekistan,3,0,Africa Cup of Nations,0
2019-11-25,Nigeria,Germany,0,0,UEFA Euro,1
2019-11-25,Ghana,Croatia,0,4,Nations League,1
2019-11-25,Egypt,South Korea,0,4,World Cup Qualification,0
2019-11-25,Brazil,Poland,1,0,AFC Asian Cup,1
2019-11-25,Poland,Belgium,1,1,World Cup Qualification,1
2019-12-17,Switzerland,Mexico,0,1,World Cup Qualification,1
2019-12-17,Peru,New Zealand,1,0,Africa Cup of Nations,0
2019-12-17,Iraq,Turkey,1,1,UEFA Euro,0
2019-12-17,France,Canada,2,1,AFC Asian Cup,1
2019-12-17,Iraq,Argentina,2,2,Copa America,1
2019-12-17,Canada,Mexico,1,2,Africa Cup of Nations,0
2019-12-17,Qatar,New Zealand,0,1,Copa America,1
2019-12-17,Algeria,Costa Rica,0,1,Copa America,1
2019-12-17,Australia,Uzbekistan,1,0,World Cup Qualification,0
2019-12-17,Croatia,Italy,0,2,AFC Asian Cup,1
2019-12-17,Netherlands,Japan,3,0,Copa America,0
2019-12-17,South Africa,Qatar,0,0,Copa America,1
2019-12-17,Nigeria,Poland,0,0,AFC Asian Cup,1
2019-12-17,Poland,Belgium,0,2,World Cup Qualification,0
2019-12-17,USA,Canada,1,2,Friendly,1
2020-01-02,Chile,Jamaica,1,0,UEFA Euro,0
2020-01-02,South Korea,Jamaica,0,0,AFC Asian Cup,0
2020-01-02,Wales,USA,1,3,AFC Asian Cup,1
2020-01-02,Panama,Ghana,1,0,Copa America,0
2020-01-02,Spain,Belgium,3,0,Friendly,1
2020-01-02,Ukraine,Cameroon,0,0,Friendly,1
2020-01-02,Uruguay,Senegal,0,0,UEFA Euro,1
2020-01-02,Portugal,New Zealand,0,0,World Cup Qualification,0
2020-01-02,Austria,Ghana,1,0,UEFA Euro,1
2020-01-02,Iran,Australia,2,0,Africa Cup of Nations,0
2020-01-02,Uzbekistan,Australia,1,2,Copa America,1
2020-01-02,Ecuador,Argentina,2,1,AFC Asian Cup,1
2020-01-02,Iraq,Argentina,0,2,Nations League,0
2020-01-02,Saudi Arabia,Iraq,0,0,Copa America,1
2020-01-02,Australia,Canada,2,2,Nations League,1
2020-01-02,Cameroon,Canada,0,4,Copa America,1
2020-01-02,Iraq,Brazil,0,1,UEFA Euro,1
2020-01-19,Ecuador,Morocco,0,2,UEFA Euro,0
2020-01-19,Peru,Saudi Arabia,2,0,Copa America,1
2020-01-19,Spain,Panama,2,0,Copa America,0
2020-01-19,Tunisia,Saudi Arabia,0,0,Friendly,1
2020-01-19,Costa Rica,Egypt,0,0,Friendly,1
2020-01-19,Iraq,Tunisia,2,1,Friendly,0
2020-01-19,Germany,Panama,1,0,AFC Asian Cup,0
2020-01-19,Netherlands,Spain,0,1,Friendly,1
2020-01-19,Saudi Arabia,Japan,1,3,Friendly,0
2020-01-19,Ghana,Brazil,2,3,Friendly,0
2020-01-19,Canada,Nigeria,1,2,World Cup Qualification,0
2020-01-19,Italy,Cameroon,2,1,UEFA Euro,0
2020-01-19,Nigeria,France,0,0,World Cup Qualification,1
2020-01-19,Wales,Brazil,0,0,UEFA Euro,0
2020-01-19,Japan,Belgium,0,0,UEFA Euro,1
2020-01-19,Wales,Ghana,0,0,World Cup Qualification,0
2020-01-19,Argentina,Belgium,2,3,World Cup Qualification,1
2020-01-19,Italy,Denmark,0,0,UEFA Euro,1
2020-01-19,Sweden,South Africa,1,3,Nations League,0
2020-01-19,Uzbekistan,Nigeria,0,0,World Cup Qualification,0
2020-02-12,Mexico,Uzbekistan,1,1,Friendly,1
2020-02-12,Belgium,Saudi Arabia,0,3,Nations League,1
2020-02-12,Germany,Qatar,0,0,Africa Cup of Nations,1
2020-02-12,Nigeria,England,0,0,Africa Cup of Nations,1
2020-02-12,Uzbekistan,Austria,0,1,Friendly,0
2020-02-12,Ecuador,Egypt,0,3,Nations League,0
2020-02-12,Austria,Morocco,0,0,AFC Asian Cup,1
2020-02-12,Wales,Ecuador,3,1,AFC Asian Cup,0
2020-02-12,Qatar,Colombia,0,0,AFC Asian Cup,1
2020-02-12,Algeria,Australia,3,0,UEFA Euro,1
2020-02-12,Morocco,Switzerland,0,0,AFC Asian Cup,1
2020-03-03,Netherlands,Uruguay,1,0,Copa America,1
2020-03-03,Jamaica,Australia,3,1,Friendly,0
2020-03-03,Jamaica,Brazil,0,1,Nations League,1
2020-03-03,Uzbekistan,Iran,4,1,World Cup Qualification,1
2020-03-03,Italy,Canada,2,2,Nations League,0
2020-03-03,Chile,New Zealand,2,0,Copa America,1
2020-03-03,Cameroon,England,0,2,Friendly,1
2020-03-03,Ukraine,Colombia,1,2,Africa Cup of Nations,0
2020-03-03,Portugal,England,0,0,Nations League,1
2020-03-03,Egypt,South Korea,0,0,Nations League,1
2020-03-03,Denmark,Wales,0,0,Africa Cup of Nations,1
2020-03-03,Uruguay,Ukraine,1,4,Africa Cup of Nations,0
2020-03-03,Chile,Saudi Arabia,1,0,Friendly,0
2020-03-03,England,Japan,2,2,Friendly,0
2020-03-22,USA,Ukraine,5,2,AFC Asian Cup,0
2020-03-22,Morocco,Costa Rica,3,0,Copa America,0
2020-03-22,Tunisia,Wales,1,1,AFC Asian Cup,0
2020-03-22,Sweden,Wales,0,1,UEFA Euro,1
2020-03-22,Qatar,Saudi Arabia,3,2,World Cup Qualification,0
2020-03-22,Italy,Mexico,1,0,Africa Cup of Nations,0
2020-03-22,Australia,Colombia,0,1,Africa Cup of Nations,0
2020-03-22,Peru,Switzerland,3,4,AFC Asian Cup,0
2020-03-22,Jamaica,South Africa,0,1,World Cup Qualification,1
2020-03-22,South Korea,Croatia,0,2,World Cup Qualification,0
2020-03-22,Peru,Croatia,0,0,Friendly,0
2020-03-22,England,Uruguay,0,0,World Cup Qualification,0
2020-03-22,Wales,Uruguay,3,0,World Cup Qualification,0
2020-03-22,Ecuador,Argentina,0,0,Africa Cup of Nations,1
2020-03-22,Wales,Ecuador,1,2,Friendly,1
2020-03-22,Jamaica,France,0,2,Friendly,0
2020-03-22,Belgium,Peru,2,0,World Cup Qualification,0
2020-03-22,South Korea,Peru,2,0,Nations League,0
2020-03-22,Chile,Sweden,1,0,Friendly,1
2020-03-22,USA,England,1,0,Friendly,0
2020-03-22,Saudi Arabia,Peru,0,3,AFC Asian Cup,1
2020-03-22,Argentina,South Africa,1,0,World Cup Qualification,1
2020-03-22,Ghana,Nigeria,2,1,Copa America,1
2020-03-22,Poland,Austria,2,0,World Cup Qualification,0
2020-04-02,Peru,Uzbekistan,0,4,Africa Cup of Nations,1
2020-04-02,Switzerland,Japan,1,0,UEFA Euro,1
2020-04-02,Egypt,Iran,0,2,Copa America,1
2020-04-02,Ghana,Wales,1,0,World Cup Qualification,0
2020-04-02,Wales,Uruguay,0,2,Friendly,1
2020-04-02,Netherlands,France,0,1,UEFA Euro,1
2020-04-02,Argentina,Austria,2,2,Africa Cup of Nations,0
2020-04-02,Switzerland,Belgium,1,0,World Cup Qualification,0
2020-04-02,Colombia,Jamaica,0,0,AFC Asian Cup,1
2020-04-02,Belgium,South Korea,0,0,AFC Asian Cup,1
2020-04-02,Nigeria,Germany,0,2,UEFA Euro,1
2020-04-20,Netherlands,Colombia,3,0,AFC Asian Cup,0
2020-04-20,Qatar,Canada,2,0,UEFA Euro,0
2020-04-20,Ukraine,New Zealand,2,0,Africa Cup of Nations,1
2020-04-20,Japan,France,3,1,Nations League,0
2020-04-20,USA,Ukraine,1,5,World Cup Qualification,0
2020-04-20,Chile,Uzbekistan,2,2,Africa Cup of Nations,0
2020-04-20,Ecuador,France,0,0,AFC Asian Cup,0
2020-04-20,Morocco,Jamaica,0,0,Copa America,0
2020-04-20,Brazil,Netherlands,0,1,Nations League,0
2020-04-20,South Africa,Turkey,4,1,AFC Asian Cup,0
2020-04-20,Australia,Belgium,0,2,Nations League,1
2020-04-20,Austria,Belgium,3,2,Africa Cup of Nations,1
2020-04-20,Austria,Algeria,1,0,Friendly,0
2020-04-20,Peru,South Korea,0,3,Friendly,1
2020-04-20,Denmark,New Zealand,2,0,Nations League,1
2020-05-08,Morocco,Iraq,3,0,Copa America,0
2020-05-08,Turkey,Ghana,4,0,Copa America,0
2020-05-08,Costa Rica,Algeria,1,0,UEFA Euro,1
2020-05-08,Netherlands,South Korea,1,0,AFC Asian Cup,1
2020-05-08,England,Ghana,3,0,Africa Cup of Nations,1
2020-05-08,Colombia,Croatia,1,0,Africa Cup of Nations,0
2020-05-08,Colombia,Mexico,0,1,UEFA Euro,1
2020-05-08,Denmark,Uruguay,0,0,Nations League,1
2020-05-08,Qatar,Colombia,0,0,UEFA Euro,0
2020-05-08,Croatia,Egypt,3,0,Africa Cup of Nations,1
2020-05-08,Argentina,New Zealand,2,0,Nations League,0
2020-05-08,Uzbekistan,Senegal,3,0,Copa America,0
2020-05-08,Denmark,Peru,4,0,Friendly,1
2020-05-08,England,Croatia,2,1,AFC Asian Cup,1
2020-05-08,Iraq,Italy,0,0,AFC Asian Cup,0
2020-05-08,Spain,Nigeria,2,0,Nations League,0
2020-05-08,Nigeria,Canada,0,0,Copa America,1
2020-05-08,France,Brazil,1,0,Copa America,0
2020-05-08,England,Wales,0,0,Africa Cup of Nations,1
2020-05-08,Uruguay,France,2,0,UEFA Euro,0
2020-05-27,Nigeria,Germany,2,3,Africa Cup of Nations,0
2020-05-27,Switzerland,Croatia,2,0,UEFA Euro,1
2020-05-27,Chile,Austria,0,1,Friendly,0
2020-05-27,Colombia,Wales,3,1,Copa America,1
2020-05-27,Tunisia,England,0,4,World Cup Qualification,1
2020-05-27,Senegal,USA,2,0,Copa America,1
2020-05-27,Ghana,Canada,0,2,World Cup Qualification,0
2020-05-27,Turkey,Brazil,0,0,Copa America,1
2020-05-27,Brazil,Switzerland,1,0,Copa America,1
2020-05-27,Canada,Iraq,0,2,Africa Cup of Nations,1
2020-05-27,Croatia,Panama,2,4,World Cup Qualification,1
2020-05-27,Uzbekistan,Ukraine,3,2,Africa Cup of Nations,0
2020-05-27,England,Sweden,1,0,UEFA Euro,1
2020-05-27,Morocco,Peru,2,0,World Cup Qualification,0
2020-05-27,Jamaica,England,0,0,Friendly,0
2020-05-27,Sweden,USA,0,0,Nations League,1
2020-05-27,Peru,England,0,3,Nations League,0
2020-05-27,Iran,Nigeria,0,2,Nations League,1
2020-05-27,South Africa,Egypt,3,1,Nations League,1
2020-05-27,Jamaica,Turkey,2,2,Friendly,1
2020-05-27,Nigeria,Qatar,2,0,Africa Cup of Nations,0
2020-05-27,Qatar,Argentina,0,1,UEFA Euro,1
2020-05-27,Croatia,Argentina,0,0,AFC Asian Cup,0
2020-05-27,Brazil,Panama,2,0,World Cup Qualification,0
2020-06-07,Ukraine,Australia,0,1,Friendly,1
2020-06-07,Tunisia,South Korea,0,0,Friendly,1
2020-06-07,Mexico,Canada,1,1,World Cup Qualification,0
2020-06-07,Colombia,France,0,3,Nations League,1
2020-06-07,Poland,USA,1,2,Copa America,1
2020-06-07,England,Italy,0,4,UEFA Euro,0
2020-06-07,Germany,Uruguay,0,0,Copa America,1
2020-06-07,Brazil,New Zealand,2,2,Copa America,0
2020-06-07,Uzbekistan,South Africa,1,1,AFC Asian Cup,0
